id,x[m],y[m],z[m],t[s],,,,,,,,,
4,1.6491431753,2.6201232797,0.5,94,,,,,0.3888149567,2.6252369639,,,
4,1.6191794788,2.5936246591,0.5,95,,,,,0.3588512602,2.5987383433,,,
4,1.5847317966,2.5732934715,0.5,96,,,,,0.324403578,2.5784071557,,,
4,1.5479310712,2.55761844,0.5,97,,,,,0.2876028526,2.5627321242,,,
4,1.5081112802,2.553825784,0.5,98,,,,,0.2477830616,2.5589394682,,,
4,1.4683983556,2.5490421009,0.5,99,,,,,0.208070137,2.5541557851,,,
4,1.4285325214,2.552315518,0.5,100,,,,,0.1682043028,2.5574292022,,,
4,1.3885420596,2.5514420393,0.5,101,,,,,0.128213841,2.5565557235,,,
4,1.3485572743,2.5503388847,0.5,102,,,,,0.0882290557,2.5554525689,,,
4,1.3085885777,2.5487567052,0.5,103,,,,,0.0482603591,2.5538703894,,,
4,1.2688089974,2.5529501509,0.5,104,,,,,0.0084807788,2.5580638351,,,
4,1.228814147,2.5523083222,0.5,105,,,,,-0.0315140716,2.5574220064,,,
4,1.1891097015,2.5571618781,0.5,106,,,,,-0.0712185171,2.5622755623,,,
4,1.1505386271,2.5677577369,0.5,107,,,,,-0.1097895915,2.5728714211,,,
4,1.1120631036,2.5786954737,0.5,108,,,,,-0.148265115,2.5838091579,,,
4,1.0749889966,2.593712484,0.5,109,,,,,-0.185339222,2.5988261682,,,
4,1.0370791163,2.6064733996,0.5,110,,,,,-0.2232491023,2.6115870838,,,
4,0.9987969312,2.6180697053,0.5,111,,,,,-0.2615312874,2.6231833895,,,
4,0.9598154824,2.6270389112,0.5,112,,,,,-0.3005127362,2.6321525954,,,
4,0.919862034,2.6289681493,0.5,113,,,,,-0.3404661846,2.6340818335,,,
4,0.8799277091,2.6266769288,0.5,114,,,,,-0.3804005095,2.631790613,,,
4,0.8405797655,2.6194839225,0.5,115,,,,,-0.4197484531,2.6245976067,,,
4,0.8017231748,2.6099883787,0.5,116,,,,,-0.4586050438,2.6151020629,,,
4,0.7635810461,2.5979393945,0.5,117,,,,,-0.4967471725,2.6030530787,,,
4,0.725896072,2.5845288492,0.5,118,,,,,-0.5344321466,2.5896425334,,,
4,0.6885429662,2.5702199187,0.5,119,,,,,-0.5717852524,2.5753336029,,,
4,0.6507195985,2.5572048178,0.5,120,,,,,-0.6096086201,2.562318502,,,
4,0.6130475203,2.5437580887,0.5,121,,,,,-0.6472806983,2.5488717729,,,
4,0.5756306502,2.5296167367,0.5,122,,,,,-0.6846975684,2.5347304209,,,
4,0.5380974477,2.5157871051,0.5,123,,,,,-0.7222307709,2.5209007893,,,
4,0.5019276528,2.4987065333,0.5,124,,,,,-0.7584005658,2.5038202175,,,
4,0.4666717073,2.4798116052,0.5,125,,,,,-0.7936565113,2.4849252894,,,
4,0.4325872374,2.4588772098,0.5,126,,,,,-0.8277409812,2.463990894,,,
4,0.3994190304,2.4365194361,0.5,127,,,,,-0.8609091882,2.4416331203,,,
4,0.3677785208,2.412047449,0.5,128,,,,,-0.8925496978,2.4171611332,,,
4,0.3373537744,2.3860794917,0.5,129,,,,,-0.9229744442,2.3911931759,,,
4,0.3097522692,2.357128552,0.5,130,,,,,-0.9505759494,2.3622422362,,,
4,0.2859504593,2.3249808639,0.5,131,,,,,-0.9743777593,2.3300945481,,,
4,0.2629595281,2.2922483559,0.5,132,,,,,-0.9973686905,2.2973620401,,,
4,0.2431359986,2.257506052,0.5,133,,,,,-1.01719222,2.2626197362,,,
4,0.2279429036,2.2205037567,0.5,134,,,,,-1.032385315,2.2256174409,,,
4,0.219300557,2.1814485413,0.5,135,,,,,-1.0410276616,2.1865622255,,,
4,0.2144778028,2.1417403426,0.5,136,,,,,-1.0458504158,2.1468540268,,,
4,0.2098252048,2.1020118474,0.5,137,,,,,-1.0505030138,2.1071255316,,,
4,0.2100896569,2.0620127216,0.5,138,,,,,-1.0502385617,2.0671264058,,,
4,0.2061012692,2.0222120588,0.5,139,,,,,-1.0542269494,2.027325743,,,
4,0.207379752,1.9822324955,0.5,140,,,,,-1.0529484666,1.9873461797,,,
4,0.208995794,1.9422651537,0.5,141,,,,,-1.0513324246,1.9473788379,,,
4,0.2109490498,1.9023128723,0.5,142,,,,,-1.0493791688,1.9074265565,,,
4,0.2082062909,1.8624070171,0.5,143,,,,,-1.0521219277,1.8675207013,,,
4,0.2098935483,1.8224426184,0.5,144,,,,,-1.0504346703,1.8275563026,,,
4,0.216130302,1.7829318237,0.5,145,,,,,-1.0441979166,1.7880455079,,,
4,0.2118938879,1.7431567964,0.5,146,,,,,-1.0484343307,1.7482704806,,,
4,0.2073450696,1.7034162849,0.5,147,,,,,-1.052983149,1.7085299691,,,
4,0.212185317,1.6637102148,0.5,148,,,,,-1.0481429016,1.668823899,,,
4,0.2073722695,1.6240008384,0.5,149,,,,,-1.0529559491,1.6291145226,,,
4,0.2120872359,1.5842796967,0.5,150,,,,,-1.0482409827,1.5893933809,,,
4,0.2124041846,1.5442809525,0.5,151,,,,,-1.047924034,1.5493946367,,,
4,0.2133899462,1.5042931009,0.5,152,,,,,-1.0469382724,1.5094067851,,,
4,0.2150215612,1.4643263918,0.5,153,,,,,-1.0453066574,1.469440076,,,
4,0.2176223077,1.4244110299,0.5,154,,,,,-1.0427059109,1.4295247141,,,
4,0.2253583566,1.3851662398,0.5,155,,,,,-1.034969862,1.390279924,,,
4,0.2259959088,1.3451713211,0.5,156,,,,,-1.0343323098,1.3502850053,,,
4,0.2279250162,1.3052178663,0.5,157,,,,,-1.0324032024,1.3103315505,,,
4,0.2314315094,1.2653718564,0.5,158,,,,,-1.0288967092,1.2704855406,,,
4,0.2369760602,1.2257579958,0.5,159,,,,,-1.0233521584,1.23087168,,,
4,0.2433461815,1.1862684838,0.5,160,,,,,-1.0169820371,1.191382168,,,
4,0.2619350317,1.1508502026,0.5,161,,,,,-0.9983931869,1.1559638868,,,
5,3.2595791719,3.1699295108,0.5,82,,5,1.999533782,3.1718345393,0.5,81,,-1.26004539,0.0019050285
5,3.2200160426,3.17582517,0.5,83,,,,,1.959687824,3.1809388542,,,
5,3.1801325152,3.1788754564,0.5,84,,,,,1.9198042966,3.1839891406,,,
5,3.1405840739,3.1848688517,0.5,85,,,,,1.8802558553,3.1899825359,,,
5,3.1010414451,3.1909004776,0.5,86,,,,,1.8407132265,3.1960141618,,,
5,3.061902504,3.1991553722,0.5,87,,,,,1.8015742854,3.2042690564,,,
5,3.0235758805,3.2106039501,0.5,88,,,,,1.7632476619,3.2157176343,,,
5,2.9849698637,3.2210717801,0.5,89,,,,,1.7246416451,3.2261854643,,,
5,2.9463176302,3.2313676457,0.5,90,,,,,1.6859894116,3.2364813299,,,
5,2.9073628626,3.2404520323,0.5,91,,,,,1.647034644,3.2455657165,,,
5,2.8680711404,3.2479460675,0.5,92,,,,,1.6077429218,3.2530597517,,,
5,2.828515848,3.2538940795,0.5,93,,,,,1.5681876294,3.2590077637,,,
5,2.7886863115,3.2575829842,0.5,94,,,,,1.5283580929,3.2626966684,,,
5,2.7487637876,3.2600713744,0.5,95,,,,,1.488435569,3.2651850586,,,
5,2.708763903,3.2601674725,0.5,96,,,,,1.4484356844,3.2652811567,,,
5,2.6687975563,3.2585270064,0.5,97,,,,,1.4084693377,3.2636406906,,,
5,2.6289226225,3.2553663649,0.5,98,,,,,1.3685944039,3.2604800491,,,
5,2.589266097,3.2501356876,0.5,99,,,,,1.3289378784,3.2552493718,,,
5,2.5498642213,3.2432442298,0.5,100,,,,,1.2895360027,3.248357914,,,
5,2.5107772831,3.2347465085,0.5,101,,,,,1.2504490645,3.2398601927,,,
5,2.4718251934,3.2256506467,0.5,102,,,,,1.2114969748,3.2307643309,,,
5,2.433176844,3.2153402105,0.5,103,,,,,1.1728486254,3.2204538947,,,
5,2.3952456636,3.202642748,0.5,104,,,,,1.134917445,3.2077564322,,,
5,2.3578248935,3.1885117196,0.5,105,,,,,1.0974966749,3.1936254038,,,
5,2.3208651667,3.1732153606,0.5,106,,,,,1.0605369481,3.1783290448,,,
5,2.2843238169,3.1569448429,0.5,107,,,,,1.0239955983,3.1620585271,,,
5,2.2491092964,3.1379728227,0.5,108,,,,,0.9887810778,3.1430865069,,,
5,2.2142576434,3.1183421762,0.5,109,,,,,0.9539294248,3.1234558604,,,
5,2.1803582163,3.0971094458,0.5,110,,,,,0.9200299977,3.10222313,,,
5,2.1471128974,3.0748664969,0.5,111,,,,,0.8867846788,3.0799801811,,,
5,2.1166480893,3.0489455504,0.5,112,,,,,0.8563198707,3.0540592346,,,
5,2.0894406768,3.0196239423,0.5,113,,,,,0.8291124582,3.0247376265,,,
5,2.0646212981,2.9882551928,0.5,114,,,,,0.8042930795,2.993368877,,,
5,2.0371121604,2.9592164714,0.5,115,,,,,0.7767839418,2.9643301556,,,
5,2.0120144936,2.9280699287,0.5,116,,,,,0.751686275,2.9331836129,,,
5,1.9836822893,2.8998336719,0.5,117,,,,,0.7233540707,2.9049473561,,,
5,1.9554651389,2.8714824387,0.5,118,,,,,0.6951369203,2.8765961229,,,
5,1.9285705158,2.8418736689,0.5,119,,,,,0.6682422972,2.8469873531,,,
5,1.9014757186,2.8124479665,0.5,120,,,,,0.6411475,2.8175616507,,,
5,1.8725348178,2.7848359354,0.5,121,,,,,0.6122065992,2.7899496196,,,
5,1.8432382144,2.7576015999,0.5,122,,,,,0.5829099958,2.7627152841,,,
5,1.8136784973,2.7306530726,0.5,123,,,,,0.5533502787,2.7357667568,,,
5,1.7841078686,2.703716519,0.5,124,,,,,0.52377965,2.7088302032,,,
