id,x[m],y[m],z[m],t[s]
6,2.5815314494,2.3810905205,0.5,19
6,2.5520731224,2.4081498437,0.5,20
6,2.590516493,2.4192000587,0.5,21
6,2.5595689063,2.4445426488,0.5,22
6,2.5339168611,2.413851077,0.5,23
6,2.501287166,2.390714461,0.5,24
6,2.5370290203,2.4086732987,0.5,25
6,2.5640751636,2.4381437268,0.5,26
6,2.5737669997,2.4769518227,0.5,27
6,2.5704221378,2.5168117261,0.5,28
6,2.5658168598,2.5565457344,0.5,29
6,2.557778614,2.595729744,0.5,30
6,2.5562359381,2.6356999848,0.5,31
6,2.5453558584,2.6741918523,0.5,32
6,2.5130790527,2.6978182743,0.5,33
6,2.5490819219,2.7152479447,0.5,34
6,2.5160301395,2.7377774738,0.5,35
6,2.550931262,2.7573200336,0.5,36
6,2.5110874844,2.7608518013,0.5,37
6,2.5504263142,2.7680944849,0.5,38
6,2.5277033385,2.8010135732,0.5,39
6,2.5664140417,2.8110873737,0.5,40
6,2.5354483286,2.8364078123,0.5,41
6,2.5341468656,2.8763866341,0.5,42
6,2.5566662848,2.9094453056,0.5,43
6,2.5178099065,2.9189417189,0.5,44
6,2.5025118513,2.9559007436,0.5,45
6,2.4629665636,2.9619149124,0.5,46
6,2.4281348857,2.98158098,0.5,47
6,2.4007107935,3.0107000316,0.5,48
6,2.3618506008,3.0201808237,0.5,49
6,2.3277518743,3.0410919894,0.5,50
6,2.2896493867,3.0532657499,0.5,51
6,2.2572496734,3.0767233409,0.5,52
6,2.2203860842,3.0922499565,0.5,53
6,2.1806224009,3.0965915568,0.5,54
6,2.1451982049,3.115169133,0.5,55
6,2.1053622511,3.1187880813,0.5,56
6,2.0654465185,3.116193031,0.5,57
6,2.0263796234,3.1076036358,0.5,58
6,2.0103623678,3.0709505661,0.5,59
6,1.9836185973,3.1006956622,0.5,60
6,2.0028024497,3.0655960923,0.5,61
6,2.0420136125,3.0735008196,0.5,62
6,2.067372097,3.0425662554,0.5,63
6,2.0625562238,3.0822752892,0.5,64
6,2.0666347639,3.0424837635,0.5,65
6,2.0400806361,3.07239828,0.5,66
6,2.0130564736,3.0429076944,0.5,67
6,1.9770189589,3.0602656186,0.5,68
6,1.9370748936,3.0623802454,0.5,69
6,1.8996922135,3.0481487581,0.5,70
6,1.860156325,3.0542244074,0.5,71
6,1.8227495431,3.068392423,0.5,72
6,1.7828376909,3.0710464866,0.5,73
6,1.7428388903,3.0713562512,0.5,74
6,1.7031766099,3.0765431113,0.5,75
6,1.6653300714,3.0894906793,0.5,76
6,1.6277117696,3.1030871262,0.5,77
6,1.5884179518,3.1105701659,0.5,78
6,1.5491448985,3.1181614297,0.5,79
6,1.5122025327,3.1334996699,0.5,80
6,1.4727549313,3.1401243771,0.5,81
1,-0.1129710927,2.7425217141,0.5,82
1,-0.1529368535,2.7441763936,0.5,83
1,-0.1928818072,2.7420786156,0.5,84
1,-0.2325154877,2.7366775631,0.5,85
1,-0.2717674046,2.7289777567,0.5,86
1,-0.3116548847,2.7319759122,0.5,87
1,-0.3506801577,2.7231993486,0.5,88
1,-0.3885194136,2.7102305125,0.5,89
1,-0.4246889983,2.6931494956,0.5,90
1,-0.4613431095,2.6771346232,0.5,91
1,-0.4919079385,2.6513316926,0.5,92
1,-0.5262600533,2.6308394451,0.5,93
1,-0.559436495,2.6084938926,0.5,94
