,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
randomseed,[1],modified_value,[i],x[1.000000],from,[1],,,,,,,,,,,,,,,,,,,,,,,
drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs[-1],delta_obs[-2],delta_obs[-3],delta_wall,cont_s_des,cont_s_l,cont_s_f2,cont_s_f3,cont_s_obs[-1],cont_s_obs[-2],cont_s_obs[-3],cont_s_wall,dist_d_obs_ltr,dist_d_obs_dia,dist_d_obs_btt,relative_s_obs_dia,dist_first_saw,dist_biggest_infl,dist_closest,accu_infl,max_relative_s,extra_dist_with_1st,extra_dist_with_2nd,extra_dist_with_3rd
1,43,0.0698253757,0.0008503381,0,0,0,0.0038418069,0,0,0.9370329961,0.0114112511,0,0,0,0.0515557528,0,0,2.2044203797,0.3289805013,0.8071139955,0.0889670481,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,44,0.078913638,0.001009138,0,0,0.0002550555,0,0,0,0.9842326306,0.0125862467,0,0,0.0031811227,0,0,0,2.2187339337,0.3341900215,0.7950993991,0.1425672187,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,45,0.066268067,0.0010935887,0,0,1.12086087786E-05,0.0040586965,0,0,0.9277141122,0.0153096012,0,0,0.000156914,0.0568193727,0,0,2.1431078313,0.3808655738,0.7868038786,0.1073494867,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,46,0.0689094133,0.0004700458,0,0,0.0051555787,0,0,0,0.9245237595,0.0063063731,0,0,0.0691698674,0,0,0,2.1212090661,0.3606066408,0.7493129238,0.1047499327,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,47,0.0547165575,0.0002117733,0,0,0,0.0092979721,0,0,0.8519337878,0.0032972984,0,0,0,0.1447689137,0,0,2.1972301308,0.3680809055,0.7411629295,0.1039930395,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,48,0.0597478859,8.07553160375E-05,0,0,0.0092878584,0,0,0,0.864451849,0.0011683942,0,0,0.1343797569,0,0,0,2.1818558882,0.3489894126,0.7069406467,0.119607626,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,49,0.0575782839,0.0003580578,0,0,0.0036639488,0.0011812817,0,0,0.9171207701,0.0057032313,0,0,0.0583602591,0.0188157394,0,0,2.1054192711,0.4116259679,0.699009535,0.0820534242,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,50,0.0564137015,9.2149277521E-05,0,0,0.0086617974,0,0,0,0.8656703606,0.0014140341,0,0,0.1329156053,0,0,0,2.0812648487,0.3913040735,0.6610089763,0.1443961457,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,51,0.0574505481,0.0006862886,0,0,0.0031372063,0.0009943183,0,0,0.9226282329,0.0110214658,0,0,0.0503820273,0.015968274,0,0,2.1580474807,0.3721083385,0.6532483464,0.1187079807,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,52,0.0568523602,0.000211195,0,0,0.0036981647,0.0011835823,0,0,0.9177832419,0.0034093789,0,0,0.0597004862,0.019106893,0,0,2.1424771078,0.3557252679,0.6196810757,0.0893464799,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,53,0.0556036811,0.0004902896,0,0,0.0002674404,0.0053195571,0,0,0.901472248,0.0079487986,0,0,0.0043358662,0.0862430872,0,0,2.0653150617,0.4355939605,0.6122079037,0.1888421714,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,54,0.058477451,2.52816673303E-05,0,0,0.000091706,0.0065609003,0,0,0.8975082004,0.0003880214,0,0,0.0014074974,0.1006962808,0,0,2.0417162936,0.4136194682,0.5750286291,0.151572992,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,55,0.0607250136,0.0004572252,0,0,1.2917586894E-06,0.0085489973,0,0,0.8708276531,0.0065568428,0,0,1.85244781537E-05,0.1225969797,0,0,2.1191963097,0.3637762362,0.5678015813,0.1153875135,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,56,0.0652840392,0.0001740588,0,0,0,0.0048566958,0,0,0.9284538242,0.0024754225,0,0,0,0.0690707533,0,0,2.1090256019,0.3518432168,0.5392193103,0.0832189737,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
